Batch,SampleID,IS_Recovery,Nicotine_Conc_ng_per_mL,Sample_Vol_mL,Nicotine_Mass_ng
Script Nicotine Template,S1,67,85.96726728957513,3,257.9018018687254
Script Nicotine Template,S2,69,30.738829335407605,3,92.21648800622282
Script Nicotine Template,S3,72,0.39471360340201167,3,1.184140810206035
Script Nicotine Template,S4,39,51.41766935712873,3,154.2530080713862
Script Nicotine Template,S5,53,17.978674654782406,3,53.936023964347214
Script Nicotine Template,S6,25,49.717639248859,3,149.152917746577
Script Nicotine Template,S7,57,95.50233318726144,3,286.5069995617843
Script Nicotine Template,S8,64,9.154148373391962,3,27.462445120175886
Script Nicotine Template,S9,43,153.0381025860919,3,459.1143077582757
Script Nicotine Template,S10,67,27.530366121922686,3,82.59109836576806
Script Nicotine Template,S11,55,38.80759083722702,3,116.42277251168105
Script Nicotine Template,S12,47,29.249750730012334,3,87.749252190037
Script Nicotine Template,S13,58,211.9046979590215,3,635.7140938770644
Script Nicotine Template,S14,56,99.60018201808609,3,298.80054605425823
Script Nicotine Template,S15,64,82.9136705793579,3,248.7410117380737
Script Nicotine Template,S16,54,101.19627239363994,3,303.5888171809198
Script Nicotine Template,S17,56,0.8178295206817674,3,2.453488562045302
Script Nicotine Template,S18,63,105.47044702028101,3,316.41134106084303
Script Nicotine Template,S19,47,72.9109877090627,3,218.7329631271881
Script Nicotine Template,S20,64,228.42874088587587,3,685.2862226576276
Script Nicotine Template,S21,72,176.24681813421898,3,528.740454402657
Script Nicotine Template,S22,56,21.812804177690293,3,65.43841253307087
Script Nicotine Template,S23,83,55.3679063548742,3,166.1037190646226
Script Nicotine Template,S24,78,7.019012157501724,3,21.05703647250517
Script Nicotine Template,S25,62,46.81024312807571,3,140.43072938422713
Script Nicotine Template,S26,69,11.115012362260703,3,33.34503708678211
Script Nicotine Template,S27,69,3.9912843787201453,3,11.973853136160436
Script Nicotine Template,S28,75,2.4182732008318624,3,7.254819602495587
Script Nicotine Template,S29,91,34.299799395275784,3,102.89939818582735
Script Nicotine Template,S30,92,31.08928808662993,3,93.26786425988979
Script Nicotine Template,S31,88,44.90424796997652,3,134.71274390992954
Script Nicotine Template,S32,81,10.455742660355408,3,31.367227981066225
Script Nicotine Template,S33,80,77.36724745670415,3,232.10174237011245
Script Nicotine Template,S34,69,226.79818356198598,3,680.3945506859579
Script Nicotine Template,S35,81,108.23770153566436,3,324.71310460699306
Script Nicotine Template,S36,80,183.15127744432672,3,549.4538323329801
Script Nicotine Template,S37,73,213.28091098002182,3,639.8427329400654
Script Nicotine Template,S38,94,55.80981234903344,3,167.42943704710032
Script Nicotine Template,S39,76,45.69760883953097,3,137.09282651859291
Script Nicotine Template,S40,86,17.774767399371992,3,53.32430219811597
Script Nicotine Template,S41,88,30.341823773592502,3,91.02547132077751
Script Nicotine Template,S42,70,168.43547562319083,3,505.3064268695725
Script Nicotine Template,S43,84,20.111475820783994,3,60.33442746235198
Script Nicotine Template,S44,70,22.95518422809726,3,68.86555268429177
Script Nicotine Template,S45,88,12.68525261039866,3,38.055757831195976
Script Nicotine Template,S46,95,8.218616292993431,3,24.655848878980294
Script Nicotine Template,S47,97,0.2642700011640852,3,0.7928100034922556
Script Nicotine Template,S48,90,33.77470584156343,3,101.3241175246903
Script Nicotine Template,S49,85,0.2179039878815538,3,0.6537119636446613
Script Nicotine Template,S50,83,0,3,0
